"","PlantNumber","Taxon","Vernacular","ProvenanceType","DonorInstitute","PrincipalCollector","BgLocation","GardenGrid","GardenSubGrid","CommemorationText","Date","Direction","Percent.Buds","Percent.Flowers","Percent.Fruit","Phenophase"
"219","567-32*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,46199,"South",0,0,100,9
"220","2122-23*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46199,"South",71,29,0,2
"221","225-79*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46199,"West",0,0,0,NA
"222","225-79*4",NA,NA,NA,NA,NA,NA,NA,NA,NA,46199,"West",0,0,0,NA
"223","225-79*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,46199,"West",0,89,11,5
"224","225-79*6",NA,NA,NA,NA,NA,NA,NA,NA,NA,46199,"West",95,5,0,2
"225","473-85*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46199,"West",18,82,0,5
"226","166-U*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,46199,"West",66,34,0,3
"227","283-95*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46199,"West",0,0,0,NA
"228","194-94*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46199,"West",0,0,0,NA
"229","821-37*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46199,"West",0,0,0,NA
"230","850-55*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46199,"West",88,12,0,2
"231","166-U*2",NA,NA,NA,NA,NA,NA,NA,NA,NA,46199,"West",54,56,0,3
"232","567-32*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,46199,"West",0,4,96,9
"233","2122-23*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46199,"West",72,28,0,2
"234","225-79*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46202,"North",0,0,0,NA
"235","225-79*4",NA,NA,NA,NA,NA,NA,NA,NA,NA,46202,"North",0,0,0,NA
"236","225-79*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,46202,"North",0,0,0,NA
"237","225-79*6",NA,NA,NA,NA,NA,NA,NA,NA,NA,46202,"North",40,60,0,3
"238","473-85*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46202,"North",8,71,21,5
"239","166-U*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,46202,"North",68,32,0,3
"240","283-95*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46202,"North",0,0,0,NA
"241","194-94*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46202,"North",25,75,0,5
"242","821-37*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46202,"North",57,43,0,3
"243","850-55*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46202,"North",59,41,0,3
"244","166-U*2",NA,NA,NA,NA,NA,NA,NA,NA,NA,46202,"North",18,82,0,5
"245","567-32*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,46202,"North",0,0,100,9
"246","2122-23*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46202,"North",38,59,3,5
"247","225-79*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46202,"East",18,73,9,5
"248","225-79*4",NA,NA,NA,NA,NA,NA,NA,NA,NA,46202,"East",0,100,0,5
"249","225-79*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,46202,"East",0,100,0,5
"250","225-79*6",NA,NA,NA,NA,NA,NA,NA,NA,NA,46202,"East",68,32,0,3
"251","473-85*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46202,"East",42,55,3,3
"252","166-U*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,46202,"East",48,52,0,3
