"","SpecimenAccession","SpecimenBarcode","DeterminationCalcFullName","Collectors","CollectorNumber","Day","Month","Year","LocalityNotes","Accounted.for","Buds","Flowers","Fruits","Notes","Percent.Buds","Percent.Flowers","Percent.Fruit","doy","Phenophase"
"27","124.0","0039912MOR","Acer tataricum subsp. ginnala (Maxim.) Wesm.","Kammerer, E","s.n.",9,5,1946,"Administration Building, J-40/area","Yes",219,109,0,NA,66.76829268,33.23170732,0,129,2
"29","126.0","0039760MOR","Acer tataricum subsp. ginnala (Maxim.) Wesm.","Kammerer, E","s.n.",4,6,1936,"China Collection, central, BB-66/27-41.","Yes",0,0,48,NA,0,0,100,156,9
"30","128.0","0039748MOR","Acer tataricum subsp. ginnala (Maxim.) Wesm.","Kammerer, E","s.n.",12,9,1935,"China Collection, central, BB-66/27-41.","Yes",0,0,35,NA,0,0,100,255,9
"31","138.0","0039459MOR","Acer ginnala f. aidzuense Schwer.","Eickhorst, W","s.n.",13,9,1935,"46-15","Yes",0,0,21,NA,0,0,100,256,9
"32","140.0","0039700MOR","Acer tataricum subsp. semenovii (Regel & Herder) A.E.Murray","Swink, FA","s.n.",22,7,1971,"Acer Collection, W-102/10-00.","Yes",0,0,27,NA,0,0,100,203,9
"35","173.0","0039438MOR","Acer griseum (Franch.) Pax","Braham, R","s.n.",24,5,1971,"Acer Collection, V-101/05-30.","Yes",0,0,3,NA,0,0,100,144,9
"40","190.0","0040005MOR","Acer saccharum subsp. leucoderme (Small) Desmarais","Lesica, P","s.n.",15,5,1972,"Acer Collectionm, T-101/65-75.","Yes",5,62,0,NA,7.462686567,92.53731343,0,136,5
"41","204.0","0039480MOR","Acer mandshuricum Maxim.","Braham, R","s.n.",23,6,1971,"Acer Collection, U-101/60-55","Yes",0,0,6,NA,0,0,100,174,9
"42","207.0","0039485MOR","Acer mandshuricum Maxim.","Braham, R","s.n.",24,5,1971,"Acer Collection, U-101/60-55","Yes",0,1,7,NA,0,12.5,87.5,144,8
"43","208.0","0039486MOR","Acer mandshuricum Maxim.","Swink, FA","s.n.",10,8,1964,"Forest Road, O-97/80-95","Yes",0,0,2,NA,0,0,100,223,9
"44","217.0","0039493MOR","Acer miyabei Maxim.","Lesica, P","s.n.",15,5,1972,"Acer Collection, Q-99/40-10","Yes",35,63,0,NA,35.71428571,64.28571429,0,136,3
"45","218.0","0039504MOR","Acer miyabei Maxim.","Swink, FA","s.n.",15,7,1964,"Godshalk Meadow, L-30/50-40","Yes",0,0,14,NA,0,0,100,197,9
"52","286.0","0039526MOR","Acer negundo var. violaceum Booth ex G.Kirchn.","Ciolac, C","s.n.",22,4,1970,"Acer Collection, Q-99/75-80","Yes",165,0,0,NA,100,0,0,112,1
"54","288.0","0039528MOR","Acer negundo var. violaceum Booth ex G.Kirchn.","Lesica, P","s.n.",2,5,1972,"South side of Meadow Lake on Illinois Trees Trail, East Side.","Yes",6,477,0,NA,1.242236025,98.75776398,0,123,5
"57","317.0","0040014MOR","Acer saccharum subsp. nigrum (F.Michx.) Desmarais","Read, RW","s.n.",14,10,1971,"Northern Illinois Coll., CEG Meadow, L-62/00-40.","Yes",0,0,11,NA,0,0,100,287,9
"58","318.0","0040012MOR","Acer saccharum subsp. nigrum (F.Michx.) Desmarais","Lesica, P","s.n.",11,5,1972,"Northern Illinois Coll., Forest Rd., L-62/00-40.","Yes",0,132,1,NA,0,99.2481203,0.7518796992,132,5
"59","319.0","0040013MOR","Acer saccharum subsp. nigrum (F.Michx.) Desmarais","Lesica, P","s.n.",8,5,1972,"Northern Illinois Coll., Forest Rd., L-62/00-40.","Yes",10,152,0,NA,6.172839506,93.82716049,0,129,5
"60","320.0","0040017MOR","Acer saccharum subsp. nigrum (F.Michx.) Desmarais","Lesica, P","s.n.",5,6,1972,"Northern Illinois Collection, Forest Road, L-62/00-40.","Yes",0,0,7,NA,0,0,100,157,9
"61","334.0","0039481MOR","Acer nikoense Maxim.","Braham, R","s.n.",21,7,1971,"Administration Building, I-42/75-05","Yes",0,0,4,NA,0,0,100,202,9
"62","336.0","0039483MOR","Acer nikoense Maxim.","Swink, FA","s.n.",24,6,1964,"Administration Building, I-42/75-05","Yes",0,0,5,NA,0,0,100,176,9
"63","337.0","0039484MOR","Acer nikoense Maxim.","Braham, R","s.n.",25,5,1971,"Administration Building, I-42/75-05","Yes",0,0,10,NA,0,0,100,145,9
"68","373.0","0039549MOR","Acer palmatum 'Burgundy Lace'","Schulenberg, RF","s.n.",15,5,1975,"Acer Collection, T-99/30-15","Yes",0,49,0,NA,0,100,0,135,5
"70","384.0","0039560MOR","Acer pensylvanicum L.","Lesica, P","s.n.",24,7,1972,"Acer Collection, X-98/15-30","Yes",0,0,17,NA,0,0,100,206,9
"71","385.0","0039556MOR","Acer pensylvanicum L.","Kammerer, E","s.n.",15,5,1963,"Along north side Road west of Ericaceae group.","Yes",0,25,0,NA,0,100,0,135,5
"73","415.0","0039565MOR","Acer platanoides 'Schwedleri'","Braham, R","s.n.",23,6,1971,"Street Tree Collection","Yes",0,0,6,NA,0,0,100,174,9
"74","417.0","0039569MOR","Acer platanoides 'Schwedleri'","Braham, R","s.n.",6,5,1971,"Street Collection, E-96/Area","Yes",10,51,0,NA,16.39344262,83.60655738,0,126,5
"75","430.0","0039589MOR","Acer platanoides 'Almira'","Lesica, P","s.n.",6,6,1972,"Forest Road, D-79/75-35","Yes",0,0,13,NA,0,0,100,158,9
"76","431.0","0039594MOR","Acer platanoides 'Almira'","Lesica, P","s.n.",5,5,1972,"Forest Road, D-79/75-35","Yes",7,48,0,NA,12.72727273,87.27272727,0,126,5
"78","437.0","0039601MOR","Acer platanoides 'Crimson King'","Braham, R","s.n.",6,5,1971,"Street Tree Collection","Yes",4,66,0,NA,5.714285714,94.28571429,0,126,5
"82","448.0","0039629MOR","Acer platanoides 'Palmatifidum'","Lesica, P","s.n.",5,5,1972,"Acer Collection, M-102/10-25","Yes",2,10,0,NA,100,0,0,126,1
"83","450.0","0039633MOR","Acer platanoides 'Palmatifidum'","Swink, FA","s.n.",10,8,1964,"Acer Collection, M-100/10-95","Yes",0,0,4,NA,0,0,100,223,9
"84","457.0","0039449MOR","Acer platanoides 'Schwedleri'","Kammerer, E","s.n.",4,5,1938,"Form Garden","Yes",6,43,0,NA,12.24489796,87.75510204,0,124,5
